BFO 0000050 is ObjectProperty.
HAO# is ObjectProperty.
fig 10175.svg is Class.
fig 10353.svg is Class.
fig 10777.svg is Class.
fig 10819.svg is Class.
fig 11209.svg is Class.
fig 11218.svg is Class.
fig 11310.svg is Class.
fig 12516.svg is Class.
fig 12641.svg is Class.
fig 12673.svg is Class.
fig 12685.svg is Class.
fig 12698.svg is Class.
fig 12718.svg is Class.
fig 12734.svg is Class.
fig 12751.svg is Class.
fig 12770.svg is Class.
fig 12783.svg is Class.
fig 12786.svg is Class.
fig 12794.svg is Class.
fig 12818.svg is Class.
fig 12830.svg is Class.
fig 12848.svg is Class.
fig 12909.svg is Class.
fig 13038.svg is Class.
fig 13045.svg is Class.
fig 13046.svg is Class.
fig 13408.svg is Class.
fig 13528.svg is Class.
fig 13560.svg is Class.
fig 14492.svg is Class.
fig 14494.svg is Class.
fig 14735.svg is Class.
fig 14817.svg is Class.
fig 14904.svg is Class.
fig 14909.svg is Class.
fig 14947.svg is Class.
fig 14954.svg is Class.
fig 15112.svg is Class.
fig 15113.svg is Class.
fig 15114.svg is Class.
fig 15117.svg is Class.
fig 15579.svg is Class.
fig 15583.svg is Class.
fig 16407.svg is Class.
fig 16854.svg is Class.
fig 16858.svg is Class.
fig 17067.svg is Class.
fig 17081.svg is Class.
fig 17083.svg is Class.
fig 17086.svg is Class.
fig 17087.svg is Class.
fig 17163.svg is Class.
fig 17250.svg is Class.
fig 17301.svg is Class.
fig 17303.svg is Class.
fig 17312.svg is Class.
fig 17536.svg is Class.
fig 17550.svg is Class.
fig 17753.svg is Class.
fig 17786.svg is Class.
fig 17794.svg is Class.
fig 17809.svg is Class.
fig 17813.svg is Class.
fig 17821.svg is Class.
fig 17909.svg is Class.
fig 17947.svg is Class.
fig 18004.svg is Class.
fig 18075.svg is Class.
fig 18146.svg is Class.
fig 19141.svg is Class.
fig 19149.svg is Class.
fig 21098.svg is Class.
fig 23228.svg is Class.
fig 23744.svg is Class.
fig 24069.svg is Class.
fig 24556.svg is Class.
fig 24911.svg is Class.
fig 25732.svg is Class.
fig 25767.svg is Class.
fig 25769.svg is Class.
fig 25772.svg is Class.
fig 25797.svg is Class.
fig 25803.svg is Class.
fig 25816.svg is Class.
fig 26163.svg is Class.
fig 26169.svg is Class.
fig 26186.svg is Class.
fig 26193.svg is Class.
fig 26196.svg is Class.
fig 27216.svg is Class.
fig 27222.svg is Class.
fig 27237.svg is Class.
fig 28067.svg is Class.
fig 28072.svg is Class.
fig 28096.svg is Class.
fig 28117.svg is Class.
fig 28145.svg is Class.
fig 28146.svg is Class.
fig 28159.svg is Class.
fig 28166.svg is Class.
fig 28202.svg is Class.
fig 28203.svg is Class.
fig 28230.svg is Class.
fig 28233.svg is Class.
