BINARY is OBI_0000417 ObjectProperty
BINARY is OBCS_0000001 Class
BINARY equiv OBCS_0000001 OBI_0000417_some
BINARY equiv OBCS_0000001 (OBCS_0000124_or_OBI_0200078)
BINARY SubClassOf OBCS_0000001 OBI_0200000
BINARY DisjointWith OBCS_0000001 OBI_0000417_some
BINARY DisjointWith OBCS_0000001 (OBCS_0000124_or_OBI_0200078)
BINARY is OBCS_0000031 Class
BINARY SubClassOf OBCS_0000031 OBCS_0000241
BINARY is OBCS_0000062 Class
BINARY is OBCS_0000089 Class
BINARY SubClassOf OBCS_0000089 OBCS_0000062
BINARY is OBCS_0000121 Class
BINARY SubClassOf OBCS_0000121 OBCS_0000001
BINARY is OBCS_0000124 Class
BINARY is OBCS_0000231 Class
BINARY SubClassOf OBCS_0000231 PATO_0000161
BINARY is OBCS_0000241 Class
BINARY is OBCS_0000251 Class
BINARY DisjointWith OBCS_0000251 OBI_0200078
BINARY is OBCS_0000341 Class
BINARY SubClassOf OBCS_0000341 OBCS_0000251
BINARY is OBCS_0000342 Class
BINARY is OBCS_0000344 Class
BINARY SubClassOf OBCS_0000344 OBCS_0000342
BINARY is OBCS_0000345 Class
BINARY SubClassOf OBCS_0000345 OBCS_0000251
BINARY is OBCS_0000350 Class
BINARY is OBCS_0000351 Class
BINARY SubClassOf OBCS_0000351 OBCS_0000350
BINARY is OBCS_0000355 Class
BINARY SubClassOf OBCS_0000355 OBCS_0000251
BINARY is OBCS_0000357 Class
BINARY SubClassOf OBCS_0000357 OBCS_0000251
BINARY is OBI_0200000 Class
BINARY SubClassOf OBI_0200000 OBI_0200184
BINARY is OBI_0200078 Class
BINARY DisjointWith OBI_0200078 OBCS_0000251
BINARY is OBI_0200086 Class
BINARY is OBI_0200120 Class
BINARY SubClassOf OBI_0200120 OBI_0200086,
BINARY SubClassOf OBI_0200120 OBI_0000417_some_OBI_0200078,
BINARY SubClassOf OBI_0200120 OBI_0000417_some_OBI_0200180
BINARY is OBI_0200121 Class
BINARY SubClassOf OBI_0200121 OBI_0200086,
BINARY SubClassOf OBI_0200121 OBI_0000417_some_OBI_0200078,
BINARY SubClassOf OBI_0200121 OBI_0000417_some_OBI_0200180
BINARY is OBI_0200122 Class
BINARY SubClassOf OBI_0200122 OBI_0200086,
BINARY SubClassOf OBI_0200122 OBI_0000417_some_OBI_0200078,
BINARY SubClassOf OBI_0200122 OBI_0000417_some_OBI_0200180
BINARY is OBI_0200124 Class
BINARY SubClassOf OBI_0200124 OBI_0200086,
BINARY SubClassOf OBI_0200124 OBI_0000417_some_OBI_0200078,
BINARY SubClassOf OBI_0200124 OBI_0000417_some_OBI_0200180,
BINARY SubClassOf OBI_0200124 OBI_0000417_only_OBCS_0000251
BINARY is OBI_0200180 Class
BINARY is OBI_0200184 Class
BINARY SubClassOf OBI_0200184 OBCS_0000001
BINARY is PATO_0000161 Class
BINARY is UBERON_0001729 Class
BINARY SubClassOf UBERON_0001729 UBERON_0004119,
BINARY SubClassOf UBERON_0001729 UBERON_0013522
BINARY is UBERON_0004119 Class
BINARY is UBERON_0013522 Class
BINARY is www.w3.org/2002/07/# Class
