BINARY is www.w3.org/2000/01/-schema# AnnotationProperty
BINARY is string Datatype
BINARY is BFO_0000050 ObjectProperty
BINARY is BFO_0000051 ObjectProperty
BINARY is RO_0001025 ObjectProperty
BINARY is RO_0002202 ObjectProperty
BINARY is RO_0002226 ObjectProperty
BINARY is RO_0002496 ObjectProperty
BINARY is RO_0002497 ObjectProperty
BINARY is AEO_0000103 Class
BINARY is AEO_0000108 Class
BINARY is AEO_0000114 Class
BINARY SubClassOf AEO_0000114 CARO_0000066,
BINARY SubClassOf AEO_0000114 BFO_0000051_some_CL_0000068
BINARY is AEO_0000118 Class
BINARY SubClassOf AEO_0000118 AEO_0000114
BINARY is AEO_0000119f Class
BINARY is AEO_0000207 Class
BINARY SubClassOf AEO_0000207 AEO_0000114
BINARY is AEO_0000208 Class
BINARY is AEO_0000209 Class
BINARY is AEO_0000215 Class
BINARY is CARO_0000066 Class
BINARY is CL_0000068 Class
BINARY is CS_0 Class
BINARY is EHDAA2_0000006 Class
BINARY is EHDAA2_0000007 Class
BINARY SubClassOf EHDAA2_0000007 AEO_0000208,
BINARY SubClassOf EHDAA2_0000007 BFO_0000050_some_EHDAA2_0000006,
BINARY SubClassOf EHDAA2_0000007 BFO_0000050_some_EHDAA2_0000186,
BINARY SubClassOf EHDAA2_0000007 RO_0002202_some_EHDAA2_0001118,
BINARY SubClassOf EHDAA2_0000007 RO_0002496_some_HsapDv_0000016,
BINARY SubClassOf EHDAA2_0000007 RO_0002497_some_HsapDv_0000020
BINARY is EHDAA2_0000050 Class
BINARY is EHDAA2_0000051 Class
BINARY SubClassOf EHDAA2_0000051 AEO_0000208,
BINARY SubClassOf EHDAA2_0000051 BFO_0000050_some_EHDAA2_0000050,
BINARY SubClassOf EHDAA2_0000051 BFO_0000050_some_EHDAA2_0000186,
BINARY SubClassOf EHDAA2_0000051 RO_0002202_some_EHDAA2_0000068,
BINARY SubClassOf EHDAA2_0000051 RO_0002496_some_HsapDv_0000017,
BINARY SubClassOf EHDAA2_0000051 RO_0002497_some_HsapDv_0000020
BINARY is EHDAA2_0000068 Class
BINARY is EHDAA2_0000069 Class
BINARY is EHDAA2_0000070 Class
BINARY SubClassOf EHDAA2_0000070 AEO_0000208,
BINARY SubClassOf EHDAA2_0000070 BFO_0000050_some_EHDAA2_0000069,
BINARY SubClassOf EHDAA2_0000070 BFO_0000050_some_EHDAA2_0000186,
BINARY SubClassOf EHDAA2_0000070 RO_0002202_some_EHDAA2_0000083,
BINARY SubClassOf EHDAA2_0000070 RO_0002496_some_HsapDv_0000020,
BINARY SubClassOf EHDAA2_0000070 RO_0002497_some_HsapDv_0000023
BINARY is EHDAA2_0000083 Class
BINARY is EHDAA2_0000086 Class
BINARY is EHDAA2_0000087 Class
BINARY SubClassOf EHDAA2_0000087 AEO_0000208,
BINARY SubClassOf EHDAA2_0000087 BFO_0000050_some_EHDAA2_0000086,
BINARY SubClassOf EHDAA2_0000087 BFO_0000050_some_EHDAA2_0000186,
BINARY SubClassOf EHDAA2_0000087 RO_0002202_some_EHDAA2_0000098,
BINARY SubClassOf EHDAA2_0000087 RO_0002496_some_HsapDv_0000020,
BINARY SubClassOf EHDAA2_0000087 RO_0002497_some_HsapDv_0000023
BINARY is EHDAA2_0000098 Class
BINARY is EHDAA2_0000102 Class
BINARY SubClassOf EHDAA2_0000102 AEO_0000208,
BINARY SubClassOf EHDAA2_0000102 BFO_0000050_some_EHDAA2_0000186,
BINARY SubClassOf EHDAA2_0000102 BFO_0000050_some_EHDAA2_0004075,
BINARY SubClassOf EHDAA2_0000102 RO_0002202_some_EHDAA2_0004077,
BINARY SubClassOf EHDAA2_0000102 RO_0002496_some_HsapDv_0000021,
BINARY SubClassOf EHDAA2_0000102 RO_0002497_some_HsapDv_0000024
BINARY is EHDAA2_0000105 Class
BINARY SubClassOf EHDAA2_0000105 AEO_0000114
BINARY is EHDAA2_0000127 Class
BINARY SubClassOf EHDAA2_0000127 AEO_0000209,
BINARY SubClassOf EHDAA2_0000127 BFO_0000050_some_EHDAA2_0000213,
BINARY SubClassOf EHDAA2_0000127 RO_0002202_some_EHDAA2_0004526,
BINARY SubClassOf EHDAA2_0000127 RO_0002496_some_HsapDv_0000018,
BINARY SubClassOf EHDAA2_0000127 RO_0002497_some_HsapDv_0000022
BINARY is EHDAA2_0000128 Class
BINARY SubClassOf EHDAA2_0000128 AEO_0000208,
BINARY SubClassOf EHDAA2_0000128 BFO_0000050_some_EHDAA2_0000233,
BINARY SubClassOf EHDAA2_0000128 BFO_0000050_some_EHDAA2_0000252,
BINARY SubClassOf EHDAA2_0000128 RO_0002202_some_EHDAA2_0000873,
BINARY SubClassOf EHDAA2_0000128 RO_0002496_some_HsapDv_0000023
BINARY is EHDAA2_0000131 Class
BINARY SubClassOf EHDAA2_0000131 AEO_0000208,
